age_bucket,country_destination,gender,population_in_thousands,year
70-74,FR,female,1317,2015
80-84,FR,male,712,2015
10-14,FR,male,1985,2015
80-84,FR,female,1137,2015
5-9,FR,male,1992,2015
50-54,FR,female,2234,2015
5-9,FR,female,1914,2015
60-64,FR,female,2065,2015
0-4,FR,male,2035,2015
40-44,FR,female,2231,2015
15-19,FR,female,1916,2015
85-89,FR,female,838,2015
100+,FR,female,19,2015
0-4,FR,female,1938,2015
20-24,FR,female,1947,2015
55-59,FR,male,1939,2015
30-34,FR,female,2046,2015
50-54,FR,male,2123,2015
95-99,FR,female,82,2015
45-49,FR,male,2194,2015
65-69,FR,male,1780,2015
35-39,FR,female,1856,2015
10-14,GB,female,1690,2015
35-39,GB,male,1979,2015
65-69,GB,female,1858,2015
60-64,GB,male,1693,2015
10-14,GB,male,1771,2015
95-99,GB,female,81,2015
25-29,GB,male,2213,2015
5-9,GB,female,1913,2015
40-44,GB,male,2101,2015
100+,GB,female,13,2015
70-74,GB,female,1422,2015
60-64,GB,female,1775,2015
85-89,GB,female,602,2015
30-34,GB,male,2190,2015
65-69,GB,male,1735,2015
55-59,GB,male,1925,2015
80-84,GB,female,896,2015
100+,GB,male,3,2015
45-49,GB,male,2301,2015
35-39,GB,female,1964,2015
55-59,GB,female,1991,2015
85-89,GB,male,365,2015
40-44,GB,female,2147,2015
95-99,GB,male,29,2015
50-54,GB,female,2306,2015
0-4,GB,female,1888,2015
25-29,GB,female,2122,2015
20-24,GB,female,1957,2015
15-19,GB,male,1864,2015
50-54,GB,male,2220,2015
90-94,GB,female,310,2015
5-9,GB,male,2007,2015
20-24,GB,male,2061,2015
75-79,GB,male,978,2015
15-19,GB,female,1783,2015
80-84,GB,male,661,2015
70-74,GB,male,1273,2015
30-34,GB,female,2112,2015
45-49,GB,female,2349,2015
75-79,GB,female,1166,2015
90-94,GB,male,145,2015
0-4,GB,male,1981,2015
20-24,IT,female,1514,2015
65-69,IT,male,1716,2015
100+,IT,male,3,2015
95-99,IT,male,22,2015
90-94,IT,male,164,2015
85-89,IT,male,440,2015
60-64,IT,male,1749,2015
55-59,IT,male,1976,2015
15-19,IT,female,1411,2015
80-84,IT,male,808,2015
50-54,IT,male,2322,2015
45-49,IT,male,2476,2015
40-44,IT,male,2428,2015
35-39,IT,male,2117,2015
30-34,IT,male,1814,2015
25-29,IT,male,1673,2015
20-24,IT,male,1601,2015
15-19,IT,male,1493,2015
10-14,IT,male,1468,2015
75-79,IT,male,1191,2015
5-9,IT,male,1473,2015
10-14,IT,female,1388,2015
0-4,IT,male,1468,2015
100+,IT,female,15,2015
0-4,IT,female,1383,2015
95-99,IT,female,79,2015
90-94,IT,female,436,2015
85-89,IT,female,855,2015
80-84,IT,female,1231,2015
75-79,IT,female,1534,2015
70-74,IT,female,1567,2015
65-69,IT,female,1893,2015
70-74,IT,male,1338,2015
60-64,IT,female,1880,2015
5-9,IT,female,1395,2015
55-59,IT,female,2069,2015
50-54,IT,female,2373,2015
45-49,IT,female,2480,2015
40-44,IT,female,2411,2015
35-39,IT,female,2090,2015
30-34,IT,female,1791,2015
25-29,IT,female,1610,2015
60-64,NL,female,524,2015
80-84,NL,female,231,2015
5-9,NL,female,450,2015
90-94,NL,male,25,2015
85-89,NL,female,151,2015
70-74,NL,male,351,2015
55-59,NL,female,580,2015
90-94,NL,female,69,2015
95-99,NL,female,15,2015
100+,NL,female,2,2015
50-54,NL,female,636,2015
0-4,NL,male,462,2015
5-9,NL,male,473,2015
10-14,NL,male,517,2015
45-49,NL,female,637,2015
15-19,NL,male,510,2015
20-24,NL,female,504,2015
20-24,NL,male,527,2015
65-69,NL,male,518,2015
25-29,NL,male,518,2015
40-44,NL,female,583,2015
10-14,NL,female,493,2015
30-34,NL,male,503,2015
95-99,NL,male,4,2015
75-79,NL,male,246,2015
35-39,NL,male,490,2015
80-84,NL,male,158,2015
35-39,NL,female,490,2015
40-44,NL,male,582,2015
15-19,NL,female,484,2015
0-4,NL,female,438,2015
45-49,NL,male,650,2015
30-34,NL,female,497,2015
50-54,NL,male,646,2015
100+,NL,male,0,2015
55-59,NL,male,581,2015
25-29,NL,female,505,2015
60-64,NL,male,523,2015
85-89,NL,male,78,2015
65-69,NL,female,527,2015
70-74,NL,female,375,2015
75-79,NL,female,295,2015
80-84,PT,female,194,2015
40-44,PT,female,418,2015
65-69,PT,female,313,2015
60-64,PT,female,341,2015
90-94,PT,male,19,2015
85-89,PT,female,115,2015
80-84,PT,male,122,2015
35-39,PT,male,419,2015
15-19,PT,female,266,2015
60-64,PT,male,308,2015
90-94,PT,female,45,2015
25-29,PT,female,299,2015
95-99,PT,female,9,2015
55-59,PT,female,366,2015
65-69,PT,male,267,2015
40-44,PT,male,416,2015
100+,PT,female,1,2015
75-79,PT,female,244,2015
0-4,PT,male,239,2015
85-89,PT,male,59,2015
35-39,PT,female,414,2015
5-9,PT,male,264,2015
100+,PT,male,0,2015
50-54,PT,female,397,2015
95-99,PT,male,3,2015
10-14,PT,female,269,2015
10-14,PT,male,285,2015
0-4,PT,female,225,2015
75-79,PT,male,177,2015
5-9,PT,female,250,2015
15-19,PT,male,277,2015
45-49,PT,male,386,2015
20-24,PT,male,285,2015
45-49,PT,female,395,2015
20-24,PT,female,275,2015
70-74,PT,male,214,2015
25-29,PT,male,309,2015
50-54,PT,male,378,2015
70-74,PT,female,270,2015
55-59,PT,male,343,2015
30-34,PT,female,362,2015
30-34,PT,male,371,2015
90-94,US,female,1193,2015
75-79,US,male,3641,2015
70-74,US,male,5278,2015
65-69,US,male,7561,2015
60-64,US,male,9217,2015
55-59,US,male,10689,2015
50-54,US,male,11013,2015
45-49,US,male,10454,2015
40-44,US,male,10159,2015
10-14,US,female,10346,2015
35-39,US,male,10329,2015
30-34,US,male,10984,2015
25-29,US,male,11385,2015
20-24,US,male,11601,2015
15-19,US,male,11025,2015
10-14,US,male,10771,2015
5-9,US,male,10632,2015
0-4,US,male,10788,2015
100+,US,female,61,2015
95-99,US,female,361,2015
5-9,US,female,10201,2015
85-89,US,female,2459,2015
80-84,US,female,3394,2015
75-79,US,female,4532,2015
70-74,US,female,6179,2015
65-69,US,female,8483,2015
60-64,US,female,10004,2015
55-59,US,female,11264,2015
50-54,US,female,11413,2015
45-49,US,female,10659,2015
0-4,US,female,10306,2015
40-44,US,female,10308,2015
35-39,US,female,10352,2015
30-34,US,female,10863,2015
25-29,US,female,11011,2015
20-24,US,female,11094,2015
100+,US,male,13,2015
95-99,US,male,115,2015
90-94,US,male,541,2015
15-19,US,female,10570,2015
85-89,US,male,1441,2015
80-84,US,male,2442,2015
